Bolagsid;Kollektivavtal;Postkod;Ort;Telnmr;JuridiskForm;SNI;Start_Ar;Bransch;Genomnsnittlig_lön_exkl_pension;Genomsnittlig_lön_Inkl. Pension_TSEK;Total_lön;antalanstallda_UC;Omsättning_SEK;Resultat
1;0;10074;Stockholm;08-58796900;49;70100;1971;Tillverkning & Industri;738896;1344,85;71673000;97;131665000;82359
2;0;79326;Leksand;0247-73800;49;70100;1971;Företagstjänster;510900;904,35;10218000;79;347137000;11980
3;0;11485;Stockholm;08-4595900;49;70100;1971;Företagstjänster;1580645;3096,77;49000000;1699;12910000000;455000
4;0;31167;Slöinge;0346-715200;49;10611;1971;Livsmedelsframställning;531920;792,68;13298000;25;183275000;928
5;0;59898;Mariannelund;0496-50800;49;2101;1971;Jordbruk, Skogsbruk, Jakt & Fiske;474160;680,2;23708000;50;381257000;34658
6;0;20121;Malmö;040-6605500;49;58131;1971;Media;436888;636,19;43252000;103;162743000;-3876
7;0;10388;Stockholm;08-40918880;49;59130;1971;Media;809301;1339,32;42893000;53;472830000;-31916
8;0;25457;Helsingborg;042-151180;49;14140;1971;Tillverkning & Industri;455869;684,7;20970000;46;281316000;13030
9;0;19404;Upplands Väsby;08-50650500;49;46460;1971;Partihandel;488222;697,82;35152000;72;358338000;179556
10;0;26383;Höganäs;042-338000;49;70100;1971;Tillverkning & Industri;755813;1174,42;130000000;172;282000000;-111000
11;0;16425;Kista;08-52211400;49;52290;1971;Transport & Magasinering;473502;760,54;87598000;185;1266673000;4992
12;0;78128;Borlänge;0243-73000;49;35140;1971;Avlopp, Avfall, El & Vatten;410081;601,21;95959000;259;834962000;75516
13;0;30180;Halmstad;035-147000;49;13960;1971;Tillverkning & Industri;434678;622,58;148660000;342;344264000;2586
14;0;21375;Malmö;040-6711900;49;11040;1971;Livsmedelsframställning;345900;557,14;10377000;28;121831000;-1986
15;0;20320;Malmö;010-6005200;49;10710;1971;Livsmedelsframställning;729207;1022,04;341269000;468;2417033000;-239560
16;0;17126;Solna;08-6292200;49;46620;1971;Partihandel;626388;1000,06;11275000;18;189342000;14441
17;0;21376;Malmö;040-6267100;49;46699;1971;Partihandel;475934;697,25;36171000;76;353521000;6252
18;0;16903;Solna;08-7577000;49;46340;1971;Partihandel;410290;691,1;117343000;286;3468489000;4466384
19;0;79110;Falun;023-705880;49;17129;1971;Tillverkning & Industri;443625;587,77;14196000;31;55073000;10415
20;0;53321;Götene;0511-24520;49;28410;1971;Tillverkning & Industri;421067;602,85;31159000;74;205451000;30648
21;0;23121;Trelleborg;0410-363700;49;52241;1971;Transport & Magasinering;473444;690,96;63915000;135;252012000;23390
22;0;46129;Trollhättan;0520-474550;49;68202;1971;Fastighetsverksamhet;425962;632,34;22576000;53;321158000;36920
23;0;19560;Arlandastad;08-59440560;49;17219;1971;Tillverkning & Industri;427142;642,05;8970000;21;73154000;486
24;0;40093;Göteborg;031-7345900;49;70100;1971;Tillverkning & Industri;752480;1258,6;18812000;25;189564000;82391
25;0;87031;Mjällom;0613-722200;49;25730;1971;Tillverkning & Industri;311354;484,61;9652000;31;28768000;-107
26;0;53116;Lidköping;0510-60305;49;43330;1971;Bygg-, Design- & Inredningsverksamhet;413516;438,61;12819000;44;44688000;614
27;0;43338;Partille;031-269030;49;46731;1971;Partihandel;390333;573,85;7026000;20;43531000;-1227
28;0;24722;Södra Sandby;046-50700;49;70100;1971;Avlopp, Avfall, El & Vatten;680875;1014,69;10894000;65;382730000;-551
29;0;51370;Borgstena;033-233100;49;16102;1971;Tillverkning & Industri;399870;570,93;46385000;116;777495000;175172
30;0;20213;Malmö;040-386000;49;46741;1971;Partihandel;509282;940;23427000;46;585460000;25962
31;0;16714;Bromma;08-6220850;49;45310;1971;Partihandel;567463;1065,32;23266000;41;574915000;12621
32;0;55302;Jönköping;036-387200;49;22290;1971;Tillverkning & Industri;489629;699,56;30357000;98;172019000;-7211
33;1;10074;Stockholm;08-6256300;49;8120;1971;Tillverkning & Industri;476011;787,8;41413000;83;408140000;39372
34;0;29125;Kristianstad;044-207000;49;17230;1971;Tillverkning & Industri;412244;592,95;35453000;86;214981000;-9489
35;0;20039;Malmö;040-6712239;49;46460;1971;Partihandel;365511;549,49;15717000;43;226183000;2803
36;0;26421;Klippan;0435-448880;49;46410;1971;Partihandel;365347;546,09;8403000;23;89660000;8961
37;0;46880;Vargön;0521-277300;49;24100;1971;Tillverkning & Industri;417911;592,63;80657000;193;1896759000;361390
